DEPARTAMENTO,SUSCRIPTORES_2015_2T,SUSCRIPTORES_2016_1T,SUSCRIPTORES_2016_2T,POBLACION_2015_2T,POBLACIONS_2016_1T,POBLACION_2016_2T,PENETRACION_2015_2T,PENETRACION_2016_1T,PENETRACION_2016_2T
AMAZONAS,498,511,510,76243,77088,77088,0.006531747,0.006628788,0.006615816
ANTIOQUIA,937091,977485,996831,6456207,6534764,6534764,0.145145749,0.149582296,0.15254277
ARAUCA,7034,8040,8332,262315,265190,265190,0.026815089,0.030317885,0.031418983
"ARCHIPILAGO DE SAN ANDRS, PROVIDENCIA Y SANTA CATALINA",3356,3740,4026,76442,77101,77101,0.043902567,0.048507801,0.052217222
ATL?NTICO,273173,289833,290358,2461001,2489709,2489709,0.111000768,0.1164124,0.116623268
BOGOT? D.C.,1568733,1647185,1681115,7878783,7980001,7980001,0.199108543,0.206414135,0.210666014
BOL?VAR,152606,161937,162287,2097086,2122021,2122021,0.072770502,0.076312628,0.076477565
BOYAC?,78695,89630,92420,1276367,1278061,1278061,0.061655464,0.070129673,0.072312667
CALDAS,100002,107204,109663,988003,989942,989942,0.101216292,0.108293213,0.110777197
CAQUETA,16057,17149,17465,477619,483834,483834,0.033618847,0.035443975,0.036097091
CASANARE,25493,28306,28976,356438,362698,362698,0.071521555,0.07804289,0.079890157
CAUCA,55214,58496,59932,1379070,1391889,1391889,0.040037126,0.04202634,0.043058031
CESAR,60656,64976,65514,1028880,1041203,1041203,0.058953425,0.062404738,0.062921448
CHOC?,15152,16033,16601,500076,505046,505046,0.030299394,0.031745623,0.032870273
C?RDOBA,70335,74454,74991,1709603,1736218,1736218,0.04114113,0.042882864,0.043192157
CUNDINAMARCA,271805,300631,309404,2680041,2721368,2721368,0.101418225,0.110470543,0.113694289
GUAIN?A,30,64,62,41482,42123,42123,0.000723205,0.00151936,0.00147188
GUAVIARE,352,717,945,111060,112621,112621,0.003169458,0.006366486,0.008390975
HUILA,81130,86515,87680,1154804,1168910,1168910,0.070254346,0.074013397,0.075010052
LA GUAJIRA,25466,29304,29774,957814,985498,985498,0.026587626,0.02973522,0.030212136
MAGDALENA,65017,74148,74771,1259667,1272278,1272278,0.051614435,0.058279716,0.058769388
META,90450,95170,97728,961292,979683,979683,0.094092118,0.097143668,0.099754717
NARI¢O,73691,79604,79330,1744275,1766008,1766008,0.042247352,0.045075673,0.044920521
NORTE DE SANTANDER,121066,123717,123464,1355723,1367716,1367716,0.089299953,0.090455182,0.090270202
PUTUMAYO,6408,8392,8517,345204,349537,349537,0.018562937,0.024008903,0.024366519
QUIND?O,74426,78840,80556,565266,568473,568473,0.131665446,0.138687326,0.141705939
RISARALDA,133058,140888,142856,951945,957250,957250,0.139774882,0.147179943,0.149235832
SANTANDER,288002,302877,302174,2061095,2071044,2071044,0.139732521,0.146243634,0.145904191
SUCRE,41225,42929,42939,851526,859909,859909,0.048413084,0.049922724,0.049934354
TOLIMA,128476,138635,142238,1408274,1412230,1412230,0.091229406,0.098167437,0.100718721
VALLE DEL CAUCA,585969,619123,633209,4613377,4660438,4660438,0.127015199,0.132846526,0.135868989
VAUPS,34,72,71,43665,44079,44079,0.000778656,0.001633431,0.001610744
VICHADA,71,137,131,71974,73702,73702,0.000986467,0.001858837,0.001777428
